claim_id,paper_section,experiment,baseline_identity,changed_identity,condition,seed,metric,raw_value,display_value,unit,source_artifact,source_hash,qualification_status
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,19,standard_cell_instance_area_um2,18655.4,18655,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,23,standard_cell_instance_area_um2,18594.1,18594,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,aggregate_mean,standard_cell_instance_area_um2,18649.64,18650,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,11,detailed_route_wirelength_um,44609.0,44609,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,13,detailed_route_wirelength_um,45257.0,45257,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,17,detailed_route_wirelength_um,45233.0,45233,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,19,detailed_route_wirelength_um,44822.0,44822,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,23,detailed_route_wirelength_um,44664.0,44664,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_WIRE_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,aggregate_mean,detailed_route_wirelength_um,44917.0,44917,um,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,11,slack_derived_frequency_mhz,243.8810250807246,243.9,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_TIMING_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,13,slack_derived_frequency_mhz,225.6450062503667,225.6,MHz,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
