family,comparison,reference_hardware_identity,candidate_hardware_identity,seed,activity_class,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,13,W2,0.006961226463318,0.006673651747406,-0.00028757471591200033,-4.13109266631918,0.007923829369247,0.008232497610152,0.0003086682409050006,3.8954428032355937,7.458836215335e-09,7.202950236262e-09,-2.558859790730005e-10,-3.430642149601193,0.01488506328315,0.01490615680814,2.1093524989999196e-05,0.14170934035515614,148.86551789478318,149.07647423820814,0.21095634342495373,0.14170934035513394
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,17,W0,0.006907750386745,0.00677306484431,-0.00013468554243499953,-1.9497743099322506,0.007997064851224,0.008259353227913,0.0002622883766890006,3.279808049185151,7.448124783593e-09,7.222832110187e-09,-2.2529267340599957e-10,-3.024824099379786,0.01490482315421,0.0150324255228,0.00012760236858999977,0.8561146098131189,149.06313636525425,150.3392876535228,1.2761512882685508,0.8561146098130967
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,17,W1,0.006907780189067,0.006773103028536,-0.00013467716053100053,-1.9496445579457622,0.007997118867934,0.008259478956461,0.00026236008852699964,3.2806826165731273,7.448132777199e-09,7.222837883347e-09,-2.2529489385200002e-10,-3.0248506651451734,0.01490490697324,0.01503258943558,0.0001276824623400001,0.8566471603562498,149.06397463937324,150.3409269452356,1.276952305862352,0.8566471603562498
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,17,W2,0.006907453760505,0.006772606633604,-0.00013484712690100056,-1.952197315775328,0.007996517233551,0.008258546702564,0.00026202946901300074,3.2767949015804376,7.448111016828e-09,7.222832554277e-09,-2.2527846255099982e-10,-3.0246388922239964,0.01490397844464,0.01503116078675,0.00012718234211000004,0.8533449144630278,149.05468842484464,150.32663902828676,1.2719506034421215,0.8533449144630278
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,19,W0,0.007025962695479,0.006815666798502,-0.00021029589697699972,-2.993125726561552,0.008049633353949,0.008636406622827,0.0005867732688779985,7.289440935718372,7.482571895423e-09,7.271471424986e-09,-2.1110047043699998e-10,-2.821228761812866,0.01507560350001,0.01545208133757,0.00037647783755999885,2.4972654498358837,150.77111060360002,154.53626545703756,3.7651548534375365,2.4972654498358837
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,19,W1,0.007026017643511,0.006815715227276,-0.00021030241623500034,-2.9931951057542316,0.008049747906625,0.008636567741632,0.0005868198350069999,7.289915682005921,7.482579889029e-09,7.271477198145e-09,-2.1110269088399966e-10,-2.8212554227923348,0.01507577300072,0.01545228995383,0.000376516953110001,2.4974968321161306,150.77280578020074,154.53835182825384,3.7655460480530962,2.4974968321161084
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,19,W2,0.007025551982224,0.006815228611231,-0.00021032337099299945,-2.9936917629413085,0.008048856630921,0.008635608479381,0.0005867518484600001,7.289878244394332,7.482557684568e-09,7.271471869075e-09,-2.1108581549300048e-10,-2.821038265142184,0.01507441606373,0.01545084454119,0.0003764284774600002,2.4971347206324657,150.75923505336377,154.5238962564412,3.7646612030774236,2.4971347206324435
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,23,W0,0.006935041863471,0.006733514834195,-0.00020152702927599998,-2.9059237599920573,0.00797257386148,0.008361045271158,0.00038847140967799947,4.872597186649141,7.457381379083e-09,7.214733699357e-09,-2.4264767972600034e-10,-3.2537920134619425,0.01490762270987,0.01509456709027,0.00018694438039999935,1.2540187261127045,149.09113472140987,150.9607654697903,1.8696307483804162,1.2540187261127045
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,23,W1,0.006935093551874,0.006733566056937,-0.0002015274949370002,-2.9059088162198377,0.007972694002092,0.008361195214093,0.0003885012120009995,4.872897566356604,7.457389372689e-09,7.214739472516e-09,-2.426499001729992e-10,-3.2538183008339328,0.01490779500455,0.01509476825595,0.00018697325139999978,1.2541978967576028,149.09285784050456,150.962777327756,1.8699194872514227,1.2541978967576028
hsiao,hierarchical_vs_flat,hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,23,W2,0.006934633944184,0.006733081303537,-0.00020155264064699967,-2.9064640220272886,0.007971819490194,0.008360278792679,0.0003884593024849996,4.872906404401611,7.457367168229e-09,7.214734143446e-09,-2.426330247830001e-10,-3.2536016976165816,0.0149064604193,0.0150933675468,0.00018690712749999845,1.2538665936951965,149.0795106534193,150.9487688355468,1.8692581821274814,1.2538665936951965
