hardware_identity,family,architecture,seed,reference_activity_class,candidate_activity_class,reference_origin,candidate_origin,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,11,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007042227312922,0.007042281329632,5.40167099999031e-08,0.0007670401365844626,0.007960772141814,0.007960877381265,1.0523945100093801e-07,0.0013219754205540113,7.510577937353e-09,7.510585930959e-09,7.993606000639892e-15,0.00010643130352594454,0.01500300690532,0.01500316616148,1.592561599990383e-07,0.001061494945675534,150.04507206010533,150.0466647809615,0.001592720856166352,0.001061494945675534
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,11,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007042227312922,0.007041811011732,-4.1630118999963495e-07,-0.00591149889802578,0.007960772141814,0.007959999144077,-7.729977370002361e-07,-0.009710084941882968,7.510577937353e-09,7.510564614677e-09,-1.3322675999371219e-14,-0.00017738549696888484,0.01500300690532,0.01500181760639,-1.1892989300009427e-06,-0.007927070469981867,150.04507206010533,150.0331778815064,-0.011894178598936378,-0.007927070469981867
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,13,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006961538922042,0.006961572915316,3.399327400035318e-08,0.0004883011411882521,0.007924395613372,0.007924441248178,4.5634806000033334e-08,0.0005758774325181903,7.45885042619e-09,7.458858419795e-09,7.993604999751351e-15,0.00010716939666810532,0.01488594152033,0.01488602161407,8.00937400013968e-08,0.0005380495408546793,148.87430114482035,148.8751021623141,0.0008010174937567172,0.0005380495408546793
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,13,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006961538922042,0.006961226463318,-3.124587239994661e-07,-0.0044883570644138615,0.007924395613372,0.007923829369247,-5.662441250001843e-07,-0.00714558122318909,7.45885042619e-09,7.458836215335e-09,-1.4210854999752134e-14,-0.00019052339419456388,0.01488594152033,0.01488506328315,-8.782371799988947e-07,-0.005899775830764398,148.87430114482035,148.86551789478318,-0.008783250037168955,-0.005899775830764398
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,17,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006907750386745,0.006907780189067,2.9802322000851977e-08,0.0004314331053079101,0.007997064851224,0.007997118867934,5.401671000077046e-08,0.000675456695753418,7.448124783593e-09,7.448132777199e-09,7.993605999812712e-15,0.00010732373896260583,0.01490482315421,0.01490490697324,8.381902999975155e-08,0.0005623617880701204,149.06313636525425,149.06397463937324,0.0008382741189905119,0.0005623617880479159
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,17,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006907750386745,0.006907453760505,-2.966262399994174e-07,-0.004294107681834802,0.007997064851224,0.007996517233551,-5.476176729996007e-07,-0.006847733301995618,7.448124783593e-09,7.448111016828e-09,-1.3766764999944587e-14,-0.00018483531627477845,0.01490482315421,0.01490397844464,-8.447095699998242e-07,-0.005667357212224555,149.06313636525425,149.05468842484464,-0.008447940409610055,-0.005667357212257862
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,19,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007025962695479,0.007026017643511,5.494803200032511e-08,0.0007820712175865552,0.008049633353949,0.008049747906625,1.1455267599942698e-07,0.0014230794243896838,7.482571895423e-09,7.482579889029e-09,7.993605998985531e-15,0.00010682965845276726,0.01507560350001,0.01507577300072,1.695007099990209e-07,0.0011243378084335731,150.77111060360002,150.77280578020074,0.0016951766007196056,0.0011243378084335731
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,19,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.007025962695479,0.007025551982224,-4.107132550003681e-07,-0.005845650949221071,0.008049633353949,0.008048856630921,-7.76723028001261e-07,-0.009649172749215396,7.482571895423e-09,7.482557684568e-09,-1.4210854999752134e-14,-0.00018991939133572444,0.01507560350001,0.01507441606373,-1.1874362799996901e-06,-0.007876542255824681,150.77111060360002,150.75923505336377,-0.01187555023625464,-0.007876542255813579
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,23,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006935041863471,0.006935093551874,5.1688403000446637e-08,0.0007453221482656147,0.00797257386148,0.007972694002092,1.2014061200049664e-07,0.0015069237875753316,7.457381379083e-09,7.457389372689e-09,7.993605998985531e-15,0.00010719052161434206,0.01490762270987,0.01490779500455,1.7229468000055925e-07,0.001155748863213013,149.09113472140987,149.09285784050456,0.001723119094691583,0.001155748863213013
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,23,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006935041863471,0.006934633944184,-4.0791928699983326e-07,-0.005882001796531089,0.00797257386148,0.007971819490194,-7.54371286000588e-07,-0.009462079613276053,7.457381379083e-09,7.457367168229e-09,-1.4210854000517954e-14,-0.00019056091244973317,0.01490762270987,0.0149064604193,-1.1622905699993497e-06,-0.007796619170064023,149.09113472140987,149.0795106534193,-0.011624067990567255,-0.007796619170075125
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,11,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006735441740602,0.006735490169376,4.8428774000568164e-08,0.0007190140731028194,0.008551216684282,0.008551344275475,1.275911929998763e-07,0.0014920823282915663,7.226077958222e-09,7.226083731382e-09,5.7731600001932355e-15,7.989340875536044e-05,0.0152866654098,0.01528684236109,1.7695128999919985e-07,0.0011575532351537632,152.88194076340983,152.8837104532611,0.0017696898512724601,0.0011575532351537632
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,11,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006735441740602,0.006735001225024,-4.4051557799955343e-07,-0.006540262613274894,0.008551216684282,0.008550371043384,-8.4564089799892e-07,-0.009889129573259492,7.226077958222e-09,7.226078402311e-09,4.4408900057336764e-16,6.145643638433285e-06,0.0152866654098,0.01528538018465,-1.2852251500012485e-06,-0.00840749186004075,152.88194076340983,152.86908722668466,-0.012853536725174308,-0.008407491860051852
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,13,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006674079690129,0.006674133706838,5.401670899983502e-08,0.000809350674657594,0.008233274333179,0.008233400061727,1.2572854799983157e-07,0.0015270783276788436,7.202949792173e-09,7.202955565333e-09,5.7731600001932355e-15,8.014994088423322e-05,0.01490736193955,0.01490754075348,1.7881392999977153e-07,0.0011995008286858067,149.08852675743955,149.09031507555346,0.0017883181139097815,0.0011995008286636022
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,13,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006674079690129,0.006673651747406,-4.2794272300025055e-07,-0.006412010986822647,0.008233274333179,0.008232497610152,-7.767230270003256e-07,-0.009433950522819146,7.202949792173e-09,7.202950236262e-09,4.4408899974618703e-16,6.165376853495275e-06,0.01490736193955,0.01490615680814,-1.2051314099998517e-06,-0.008084135978492224,149.08852675743955,149.07647423820814,-0.012052519231417591,-0.008084135978503326
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,17,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.00677306484431,0.006773103028536,3.818422599985438e-08,0.0005637658412771529,0.008259353227913,0.008259478956461,1.2572854799983157e-07,0.0015222565802774923,7.222832110187e-09,7.222837883347e-09,5.773159999366055e-15,7.992931181366458e-05,0.0150324255228,0.01503258943558,1.6391278000009446e-07,0.0010903947586626828,150.3392876535228,150.3409269452356,0.0016392917127916462,0.0010903947586626828
